CustomerID,Monetary_Total,Recency,Frequency,Monetary_Average,LastPurchase,Recency Score,Frequency Score,Monetary Score,RFM_Score,Country,M_Scaled,F_Scaled,Cluster
12347.0,4309.999999999997,-40,7,615.7142857142853,2011-10-31,4,5,5,455,Iceland,0.062162751747425915,0.029411764705882356,0
12348.0,1437.24,-76,4,359.31,2011-09-25,3,4,4,344,Finland,0.03627607617461098,0.014705882352941176,0
12349.0,1457.55,-19,1,1457.55,2011-11-21,4,2,5,425,Italy,0.14715481013137469,0.0,3
12350.0,294.40000000000003,-311,1,294.40000000000003,2011-02-02,1,2,3,123,Norway,0.029722737540857407,0.0,0
12352.0,1265.41,-73,6,210.90166666666667,2011-09-28,3,4,2,342,Norway,0.021292713604832637,0.024509803921568627,0
12353.0,89.0,-205,1,89.0,2011-05-19,1,2,1,121,Bahrain,0.00898547432451192,0.0,0
12354.0,1079.4,-233,1,1079.4,2011-04-21,1,2,5,125,Spain,0.10897664029076591,0.0,3
12355.0,459.4,-96,1,459.4,2011-09-05,2,2,4,224,Bahrain,0.04638120117618849,0.0,0
12356.0,2487.430000000001,-23,3,829.1433333333338,2011-11-17,4,3,5,435,Portugal,0.08371063070794267,0.00980392156862745,3
12357.0,6207.669999999996,-182,1,6207.669999999996,2011-06-11,2,2,5,225,Switzerland,0.6267287573038525,0.0,1
12358.0,928.06,-3,2,464.03,2011-12-07,5,2,4,524,Austria,0.04684864776183444,0.004901960784313725,0
12359.0,6310.030000000005,-9,4,1577.5075000000013,2011-12-01,5,4,5,545,Cyprus,0.1592657655952247,0.014705882352941176,3
12360.0,2302.0600000000004,-53,3,767.3533333333335,2011-10-18,3,3,5,335,Austria,0.07747228847747532,0.00980392156862745,3
12361.0,174.89999999999998,-288,1,174.89999999999998,2011-02-25,1,2,2,122,Belgium,0.01765797145345095,0.0,0
12362.0,4737.230000000003,-30,10,473.7230000000003,2011-11-10,4,5,5,455,Belgium,0.047827256780120925,0.044117647058823525,0
12363.0,552.0,-36,2,276.0,2011-11-04,4,2,3,423,Unspecified,0.027865066444553818,0.004901960784313725,0
12364.0,1208.1000000000001,-41,4,302.02500000000003,2011-10-30,4,4,3,443,Belgium,0.03049256048158104,0.014705882352941176,0
12365.0,320.69,-292,1,320.69,2011-02-21,1,2,3,123,Cyprus,0.03237698608008682,0.0,0
12367.0,150.9,-212,1,150.9,2011-05-12,1,2,1,121,Denmark,0.015234922197402793,0.0,0
12370.0,3421.939999999998,-52,4,855.4849999999994,2011-10-19,3,4,5,345,Cyprus,0.08637009553376487,0.014705882352941176,3
12371.0,1527.9600000000003,-30,1,1527.9600000000003,2011-11-10,4,2,5,425,Switzerland,0.154263430886306,0.0,3
12372.0,1196.04,-35,3,398.68,2011-11-05,4,3,4,434,Denmark,0.04025088655838665,0.00980392156862745,0
12373.0,324.6,-342,1,324.6,2011-01-02,1,2,3,123,Austria,0.03277174118805134,0.0,0
12374.0,622.93,-26,1,622.93,2011-11-14,4,2,5,425,Austria,0.06289125304458662,0.0,0
12375.0,377.5000000000001,-11,2,188.75000000000006,2011-11-29,5,2,2,522,Finland,0.01905627279496208,0.004901960784313725,0
12377.0,1548.1199999999997,-316,2,774.0599999999998,2011-01-28,1,2,5,125,Switzerland,0.0781493961306932,0.004901960784313725,3
12378.0,4008.6200000000013,-305,1,4008.6200000000013,2011-02-08,1,2,5,125,Switzerland,0.4047118211991571,0.0,1
12379.0,777.2399999999997,-82,2,388.61999999999983,2011-09-19,3,2,4,324,Belgium,0.03923522507855978,0.004901960784313725,0
12380.0,2427.81,-22,4,606.9525,2011-11-18,4,4,5,445,Belgium,0.0612781584825654,0.014705882352941176,0
12381.0,1474.8100000000006,-2,3,491.6033333333335,2011-12-08,5,3,5,535,Norway,0.04963246212933868,0.00980392156862745,0
12383.0,1628.5599999999995,-9,5,325.7119999999999,2011-12-01,5,4,3,543,Belgium,0.03288400913691489,0.0196078431372549,0
12384.0,425.27000000000004,-29,2,212.63500000000002,2011-11-11,4,2,2,422,Switzerland,0.02146771160665834,0.004901960784313725,0
12386.0,401.90000000000003,-192,2,200.95000000000002,2011-06-01,1,2,2,122,Australia,0.020287989500119893,0.004901960784313725,0
12388.0,2780.6600000000003,-16,6,463.4433333333334,2011-11-24,5,4,4,544,Australia,0.04678941766890883,0.024509803921568627,0
12390.0,504.84,-80,1,504.84,2011-09-21,3,2,5,325,Belgium,0.050968841100973,0.0,0
12391.0,439.65999999999997,-22,1,439.65999999999997,2011-11-18,4,2,4,424,Cyprus,0.04438824316308888,0.0,0
12393.0,1582.6000000000004,-39,4,395.6500000000001,2011-11-01,4,4,4,444,Australia,0.03994497658981058,0.014705882352941176,0
12394.0,1080.48,-153,2,540.24,2011-07-10,2,2,5,225,Belgium,0.05454283875364404,0.004901960784313725,0
12395.0,2682.6299999999987,-5,12,223.5524999999999,2011-12-05,5,5,2,552,Belgium,0.022569946617196066,0.05392156862745098,0
12397.0,2214.9,-136,2,1107.45,2011-07-27,2,2,5,225,Belgium,0.11180857910877219,0.004901960784313725,3
12398.0,1435.6599999999999,-46,1,1435.6599999999999,2011-10-25,3,2,5,325,Switzerland,0.1449447872890874,0.0,3
12399.0,1033.65,-2,4,258.4125,2011-12-08,5,4,3,543,Belgium,0.02608942566160603,0.014705882352941176,0
12401.0,69.3,-99,1,69.3,2011-09-02,2,2,1,221,Belgium,0.006996554726839056,0.0,0
12402.0,195.6,-324,1,195.6,2011-01-20,1,2,2,122,Belgium,0.019747851436792488,0.0,0
12403.0,391.7,-50,1,391.7,2011-10-21,3,2,4,324,Denmark,0.03954618306641931,0.0,0
12405.0,1390.3900000000006,-149,1,1390.3900000000006,2011-07-14,2,2,5,225,Finland,0.14037431062986666,0.0,3
12406.0,3415.300000000001,-23,2,1707.6500000000005,2011-11-17,4,2,5,425,Denmark,0.17240500258710992,0.004901960784313725,3
12407.0,1507.12,-50,5,301.424,2011-10-21,3,4,3,343,Belgium,0.030431883289794164,0.0196078431372549,0
12408.0,2618.5500000000006,-152,5,523.7100000000002,2011-07-11,2,4,5,245,Belgium,0.052873963578540885,0.0196078431372549,0
12409.0,11067.720000000001,-65,2,5533.860000000001,2011-10-06,3,2,5,325,Switzerland,0.5587006398364442,0.004901960784313725,1
12410.0,533.3299999999999,-252,2,266.66499999999996,2011-04-02,1,2,3,123,Switzerland,0.02692260124433675,0.004901960784313725,0
12412.0,1142.8799999999999,-75,3,380.96,2011-09-26,3,3,4,334,Denmark,0.03846186852433776,0.00980392156862745,0
12413.0,686.1,-192,3,228.70000000000002,2011-06-01,1,3,2,132,France,0.023089640202425574,0.00980392156862745,0
12414.0,442.41,-188,3,147.47,2011-06-05,2,3,1,231,Austria,0.014888628074559243,0.00980392156862745,0
12415.0,124298.37999999986,-25,20,6214.918999999993,2011-11-15,4,5,5,455,Australia,0.6274606191395643,0.09313725490196079,1
12417.0,3226.1000000000004,-40,9,358.4555555555556,2011-10-31,4,5,4,454,Belgium,0.03618981113396742,0.0392156862745098,0
12418.0,668.5799999999997,-113,1,668.5799999999997,2011-08-19,2,2,5,225,Switzerland,0.06750009465036153,0.0,0
12420.0,600.3900000000001,-153,1,600.3900000000001,2011-07-10,2,2,5,225,Cyprus,0.06061560595161474,0.0,0
12421.0,639.0400000000002,-16,4,159.76000000000005,2011-11-24,5,4,2,542,Spain,0.016129431214427243,0.014705882352941176,0
12422.0,683.5599999999998,-169,3,227.85333333333327,2011-06-24,2,3,2,232,Australia,0.02300416040922609,0.00980392156862745,0
12423.0,1634.3100000000002,-89,8,204.28875000000002,2011-09-12,2,5,2,252,Belgium,0.020625070987771173,0.03431372549019608,0
12424.0,1760.9599999999998,-163,2,880.4799999999999,2011-06-30,2,2,5,225,Australia,0.08889360037355341,0.004901960784313725,3
12425.0,777.1999999999999,-79,1,777.1999999999999,2011-09-22,3,2,5,325,Portugal,0.07846641174169285,0.0,3
12426.0,510.7299999999999,-195,1,510.7299999999999,2011-05-29,1,2,5,125,Germany,0.05156349777256148,0.0,0
12427.0,699.8000000000002,-22,3,233.26666666666674,2011-11-18,4,3,2,432,Germany,0.02355069263031252,0.00980392156862745,0
12428.0,6405.260000000004,-26,8,800.6575000000005,2011-11-14,4,5,5,455,Finland,0.0808346899885158,0.03431372549019608,3
12429.0,3388.400000000001,-10,4,847.1000000000003,2011-11-30,5,4,5,545,Denmark,0.08552354269993313,0.014705882352941176,3
12430.0,216.4,-44,1,216.4,2011-10-27,3,2,2,322,Norway,0.02184782745870089,0.0,0
12431.0,6314.949999999999,-2,15,420.9966666666666,2011-12-08,5,5,4,554,Australia,0.042503985831892535,0.06862745098039216,4
12432.0,4359.3200000000015,-43,4,1089.8300000000004,2011-10-28,3,4,5,345,Norway,0.1100296571132902,0.014705882352941176,3
12433.0,13375.869999999992,-10,7,1910.8385714285703,2011-11-30,5,5,5,555,Norway,0.19291899912200508,0.029411764705882356,3
12434.0,806.14,-85,2,403.07,2011-09-16,3,2,4,324,Australia,0.04069410265147213,0.004901960784313725,0
12435.0,7829.889999999998,-80,2,3914.944999999999,2011-09-21,3,2,5,325,Denmark,0.39525435707164386,0.004901960784313725,1
12436.0,429.01000000000005,-335,1,429.01000000000005,2011-01-09,1,2,4,124,Norway,0.04331301505571752,0.0,0
12437.0,4447.409999999999,-9,18,247.07833333333326,2011-12-01,5,5,3,553,France,0.024945123823706332,0.08333333333333333,4
12438.0,2466.8500000000004,-15,2,1233.4250000000002,2011-11-25,5,2,5,525,Norway,0.12452706369338332,0.004901960784313725,3
12441.0,155.55,-485,1,155.55,2010-08-12,1,2,1,121,France,0.015704387990762125,0.0,0
12442.0,144.06,-181,1,144.06,2011-06-12,2,2,1,221,Spain,0.014544353159429068,0.0,0
12444.0,4085.46,0,5,817.092,2011-12-10,5,4,5,545,Norway,0.08249392344678756,0.0196078431372549,3
12445.0,77.4,-23,1,77.4,2011-11-17,4,2,1,421,Spain,0.00781433385075531,0.0,0
12446.0,1002.3099999999998,-58,1,1002.3099999999998,2011-10-13,3,2,5,325,RSA,0.10119360415956787,0.0,3
12447.0,431.49,-67,1,431.49,2011-10-04,3,2,4,324,Belgium,0.043563396812175824,0.0,0
12448.0,365.4500000000001,-45,1,365.4500000000001,2011-10-26,3,2,4,324,Spain,0.03689597294261665,0.0,0
12449.0,3596.290000000001,-23,4,899.0725000000002,2011-11-17,4,4,5,445,Belgium,0.09077070634409826,0.014705882352941176,3
12450.0,197.88,-174,2,98.94,2011-06-19,2,2,1,221,Spain,0.009989020558058531,0.004901960784313725,0
12451.0,8995.519999999999,-11,5,1799.1039999999998,2011-11-29,5,4,5,545,Switzerland,0.1816382336980527,0.0196078431372549,3
12452.0,348.57000000000005,-17,1,348.57000000000005,2011-11-23,5,2,4,524,Switzerland,0.03519176163252944,0.0,0
12453.0,707.0899999999999,-135,1,707.0899999999999,2011-07-28,2,2,5,225,Austria,0.07138807910246216,0.0,3
12454.0,3528.34,-57,1,3528.34,2011-10-14,3,2,5,325,Spain,0.35622256717020656,0.0,1
12455.0,2339.859999999997,-74,5,467.9719999999994,2011-09-27,3,4,4,344,Cyprus,0.0472466336021403,0.0196078431372549,0
12456.0,2581.04,-45,3,860.3466666666667,2011-10-26,3,3,5,335,Switzerland,0.08686093127542413,0.00980392156862745,3
12457.0,1667.8799999999997,-82,4,416.9699999999999,2011-09-19,3,4,4,344,Switzerland,0.042097452012266674,0.014705882352941176,0
12458.0,787.4000000000001,-72,2,393.70000000000005,2011-09-29,3,2,4,324,Switzerland,0.03974810383775666,0.004901960784313725,0
12461.0,626.8800000000001,-125,1,626.8800000000001,2011-08-07,2,2,5,225,Switzerland,0.0632900465679779,0.0,0
12462.0,937.59,-19,2,468.795,2011-11-21,4,2,5,425,Spain,0.04732972399954568,0.004901960784313725,0
12463.0,1200.7799999999997,-6,4,300.19499999999994,2011-12-04,5,4,3,543,Belgium,0.03030780297580736,0.014705882352941176,0
12464.0,957.0499999999998,-11,8,119.63124999999998,2011-11-29,5,5,1,551,Belgium,0.012078017138025464,0.03431372549019608,0
12465.0,682.19,-18,2,341.095,2011-11-22,4,2,4,424,Belgium,0.0344370827496561,0.004901960784313725,0
12468.0,657.54,-218,2,328.77,2011-05-06,1,2,4,124,Germany,0.0331927459962897,0.004901960784313725,0
12471.0,17388.649999999954,-11,27,644.0240740740724,2011-11-29,5,5,5,555,Germany,0.06502091889842854,0.12745098039215685,4
12472.0,6068.110000000003,-52,7,866.8728571428576,2011-10-19,3,5,5,355,Germany,0.0875198179828476,0.029411764705882356,3
12473.0,2585.729999999999,-54,3,861.9099999999997,2011-10-17,3,3,5,335,Germany,0.08701876601168614,0.00980392156862745,3
12474.0,6694.09,-3,18,371.8938888888889,2011-12-07,5,5,4,554,Germany,0.037546550450044944,0.08333333333333333,4
12475.0,669.38,-54,1,669.38,2011-10-17,3,2,5,325,Germany,0.0675808629588965,0.0,0
12476.0,5885.970000000006,-16,10,588.5970000000005,2011-11-24,5,5,5,555,Germany,0.05942498012342412,0.044117647058823525,0
12477.0,13219.73999999999,-23,6,2203.2899999999986,2011-11-17,4,4,5,445,Germany,0.22244500813993093,0.024509803921568627,3
12478.0,545.99,-181,1,545.99,2011-06-12,2,2,5,225,Greece,0.055123360971238905,0.0,0
12479.0,473.2,-12,1,473.2,2011-11-28,5,2,5,525,Germany,0.04777445449841618,0.0,0
12480.0,2885.6300000000006,-29,4,721.4075000000001,2011-11-11,4,4,5,445,Germany,0.07283357942427342,0.014705882352941176,3
12481.0,5003.820000000002,-23,10,500.38200000000023,2011-11-17,4,5,5,455,Germany,0.05051875970166208,0.044117647058823525,0
