Cluster,InvoiceNo,StockCode
0,536367,12
0,536368,4
0,536382,12
0,536384,13
0,536385,7
0,536388,14
0,536392,10
0,536397,2
0,536398,17
0,536401,64
0,536404,28
0,536408,48
0,536409,54
0,536415,59
0,536416,6
0,536420,14
0,536423,9
0,536425,17
0,536446,31
0,536464,81
0,536488,34
0,536502,5
0,536508,2
0,536514,5
0,536520,71
0,536522,52
0,536523,12
0,536524,4
0,536525,13
0,536526,9
0,536527,14
0,536528,48
0,536529,9
0,536530,22
0,536533,6
0,536534,5
0,536535,12
0,536536,3
0,536537,11
0,536538,31
0,536539,27
0,536542,16
0,536556,8
0,536559,8
0,536563,9
0,536567,7
0,536569,63
0,536570,5
0,536571,18
0,536572,21
0,536573,4
0,536582,17
0,536587,22
0,536588,11
0,536590,14
0,536593,5
0,536594,5
0,536597,28
0,536604,9
0,536605,15
0,536607,18
0,536608,3
0,536611,14
0,536613,17
0,536615,12
0,536621,10
0,536627,14
0,536632,21
0,536633,18
0,536639,16
0,536643,27
0,536663,6
0,536667,16
0,536671,5
0,536672,4
0,536674,21
0,536676,9
0,536681,13
0,536698,16
0,536707,13
0,536732,26
0,536741,15
0,536742,49
0,536743,35
0,536744,10
0,536745,10
0,536746,13
0,536747,12
0,536748,5
0,536749,57
0,536754,50
0,536759,17
0,536761,7
0,536762,20
0,536763,12
0,536777,5
0,536778,14
0,536782,27
0,536793,11
0,536796,105
0,536797,6
0,536798,29
0,536799,18
0,536800,19
0,536802,8
0,536805,20
0,536808,12
0,536813,17
0,536819,17
0,536823,3
0,536832,8
0,536833,29
0,536836,27
0,536837,27
0,536838,3
0,536840,10
0,536841,22
0,536842,11
0,536843,2
0,536844,3
0,536846,70
0,536847,9
0,536852,6
0,536857,17
0,536858,5
0,536860,10
0,536861,9
0,536863,42
0,536874,63
0,536884,3
0,536943,28
0,536945,62
0,536956,15
0,536960,14
0,536971,8
0,536972,14
0,536973,31
0,536976,19
0,536977,14
0,536980,12
0,536981,22
0,536985,11
0,536986,7
0,536987,53
0,536990,6
0,536993,34
0,536994,3
0,537022,23
0,537023,25
0,537026,11
0,537030,13
0,537031,6
0,537036,31
0,537042,49
0,537044,19
0,537045,32
0,537050,51
0,537051,37
0,537057,51
0,537059,23
0,537067,6
0,537077,25
0,537081,25
0,537086,8
0,537111,22
0,537127,2
0,537129,17
0,537130,19
0,537131,37
0,537133,50
0,537134,9
0,537135,117
0,537137,65
0,537138,33
0,537139,3
0,537144,95
0,537153,44
0,537156,17
0,537160,26
0,537163,21
0,537176,20
0,537192,54
0,537196,76
0,537197,16
0,537199,33
0,537202,45
0,537205,11
0,537206,4
0,537207,23
0,537208,58
0,537210,15
0,537211,16
0,537215,7
0,537218,16
0,537219,69
0,537222,25
0,537223,9
0,537226,9
0,537231,18
0,537236,10
0,537239,13
0,537241,15
0,537242,29
0,537243,2
0,537244,11
0,537245,3
0,537246,6
0,537247,3
0,537248,4
0,537250,13
0,537254,57
0,537255,20
0,537257,9
0,537258,10
0,537265,39
0,537298,8
0,537301,15
0,537313,5
0,537332,12
0,537334,44
0,537335,23
0,537346,34
0,537350,12
0,537351,29
0,537359,10
0,537362,59
0,537369,52
0,537370,52
0,537371,14
0,537372,22
0,537374,82
0,537375,49
0,537377,12
0,537380,2
0,537382,54
0,537384,5
0,537385,13
0,537388,18
0,537390,8
0,537391,47
0,537395,49
0,537396,29
0,537397,10
0,537399,57
0,537400,50
0,537403,11
0,537404,11
0,537415,9
0,537418,35
0,537419,14
0,537420,18
0,537421,49
0,537422,29
0,537423,6
0,537424,3
0,537428,22
0,537433,4
0,537440,16
0,537441,40
0,537446,28
0,537447,7
0,537458,13
0,537459,11
0,537462,12
0,537464,28
0,537467,18
0,537470,5
0,537523,9
0,537538,12
0,537567,29
0,537592,5
0,537594,16
0,537595,23
0,537601,9
0,537603,15
0,537605,12
0,537606,31
0,537607,16
0,537608,47
0,537612,10
0,537615,5
0,537617,8
0,537619,7
0,537622,23
0,537623,44
0,537625,6
0,537626,31
0,537627,12
0,537628,16
0,537629,18
0,537634,18
0,537635,2
0,537636,3
0,537646,71
0,537649,7
0,537650,13
0,537653,34
0,537655,8
0,537665,6
0,537668,2
